"ProcessId","ProcessName","Path","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","2606:4700:110:82a0:670c:1173:4e1a:c39b","62987","2a06:98c1:310b::ac40:9bd1","443","Established"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","2606:4700:110:82a0:670c:1173:4e1a:c39b","62845","2a06:98c1:3107::6812:2715","443","Established"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.0.0.0","62965","0.0.0.0","0","Bound"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.0.0.0","62486","0.0.0.0","0","Bound"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.0.0.0","62485","0.0.0.0","0","Bound"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","172.16.0.2","62965","20.50.201.200","443","Established"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","172.16.0.2","62486","20.169.174.231","443","Established"
"2032","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","172.16.0.2","62485","18.97.36.79","443","Established"
"2404","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"2540","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"2968","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"4960","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"6008","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"9532","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"11928","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"12040","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"15216","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"15260","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"15340","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"15960","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"16296","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","","","","",""
"924","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"1632","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"7852","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.125\msedgewebview2.exe","","","","",""
"9232","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"11132","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"11400","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.125\msedgewebview2.exe","","","","",""
"11664","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"12528","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","::","63009","::","0","Bound"
"12528","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","::","62488","::","0","Bound"
