"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T04:01:37Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30150","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","9620","0","bitodesktop",,"01/09/2025 10:01:38 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La migraci?n de nivel inferior sin conexi?n se realiz? correctamente.","16394","0","49152","4","0","0","36028797018963968","30149","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","9620","0","bitodesktop",,"01/09/2025 10:01:07 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T03:55:04Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30148","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","13316","0","bitodesktop",,"01/09/2025 09:55:04 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La migraci?n de nivel inferior sin conexi?n se realiz? correctamente.","16394","0","49152","4","0","0","36028797018963968","30147","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","13316","0","bitodesktop",,"01/09/2025 09:54:34 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T03:51:21Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30146","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","20560","0","bitodesktop",,"01/09/2025 09:51:21 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La migraci?n de nivel inferior sin conexi?n se realiz? correctamente.","16394","0","49152","4","0","0","36028797018963968","30145","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","20560","0","bitodesktop",,"01/09/2025 09:50:51 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T03:28:43Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30144","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","11128","0","bitodesktop",,"01/09/2025 09:28:43 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software complet? la comprobaci?n del estado de licencias.
Id. de aplicaci?n=0ff1ce15-a989-479d-af46-f275c6370663
Estado de licencias=
1: 3ad61e22-e4fe-497f-bdb1-3e51bd872173, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

","1003","0","16384","4","0","0","36028797018963968","30143","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","11128","0","bitodesktop",,"01/09/2025 09:28:13 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software complet? la comprobaci?n del estado de licencias.
Id. de aplicaci?n=0ff1ce15-a989-479d-af46-f275c6370663
Estado de licencias=
1: d7279dd0-e175-49fe-a623-8fc2fc00afc4, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

","1003","0","16384","4","0","0","36028797018963968","30142","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","11128","0","bitodesktop",,"01/09/2025 09:28:13 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software complet? la comprobaci?n del estado de licencias.
Id. de aplicaci?n=0ff1ce15-a989-479d-af46-f275c6370663
Estado de licencias=
1: 3ad61e22-e4fe-497f-bdb1-3e51bd872173, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

","1003","0","16384","4","0","0","36028797018963968","30141","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","11128","0","bitodesktop",,"01/09/2025 09:28:13 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
